# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoadsAboveSizeThreshold,1743923966525000000,1743924007234000000,0
FilePageCache.maxRegisteredFiles,1743923966525000000,1743924007234000000,576
FilePageCacheLockFree.totalHeapBytesReclaimed,1743923966525000000,1743924007234000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1743923966525000000,1743924007234000000,0
DirectByteBufferAllocator.reclaimed,1743923966525000000,1743924007234000000,63
MappedFileStorage.storages,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalPagesRequested,1743923966525000000,1743924007234000000,0
DirectByteBufferAllocator.hits,1743923966525000000,1743924007234000000,21
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743923966525000000,1743924007234000000,41959424
FilePageCacheLockFree.totalBytesRequested,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1743923966525000000,1743924007234000000,0
FilePageCache.maxCacheSizeInBytes,1743923966525000000,1743924007234000000,259014656
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743923966525000000,1743924007234000000,49299456
StorageLockContext.competingThreads.avg,1743923966525000000,1743924007234000000,0.0
FilePageCacheLockFree.housekeeperTurnsDone,1743923966525000000,1743924007234000000,0
StorageLockContext.competingThreads.90P,1743923966525000000,1743924007234000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1743923966525000000,1743924007234000000,13095
DirectByteBufferAllocator.disposed,1743923966525000000,1743924007234000000,200
FilePageCacheLockFree.totalPagesHandedOver,1743923966525000000,1743924007234000000,0
StorageLockContext.competingThreads.max,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1743923966525000000,1743924007234000000,0
FilePageCache.pageHits,1743923966525000000,1743924007234000000,0
MappedFileStorage.totalBytesMapped,1743923966525000000,1743924007234000000,0
FilePageCache.totalPageDisposalsUs,1743923966525000000,1743924007234000000,1438
FilePageCacheLockFree.totalNativeBytesReclaimed,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalBytesRead,1743923966525000000,1743924007234000000,0
FilePageCache.disposedBuffers,1743923966525000000,1743924007234000000,263
FilePageCacheLockFree.totalPageAllocationsWaited,1743923966525000000,1743924007234000000,0
FilePageCache.totalPageLoadsUs,1743923966525000000,1743924007234000000,326592
FilePageCache.uncachedFileAccess,1743923966525000000,1743924007234000000,197
FilePageCacheLockFree.housekeeperTimeSpentMs,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalBytesWritten,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalPagesAllocated,1743923966525000000,1743924007234000000,0
FilePageCache.pageLoads,1743923966525000000,1743924007234000000,270
MappedFileStorage.totalPagesMapped,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.nativeBytesInUse,1743923966525000000,1743924007234000000,0
DirectByteBufferAllocator.misses,1743923966525000000,1743924007234000000,249
FilePageCacheLockFree.totalPagesReclaimed,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalPagesWriteMs,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalPagesReadMs,1743923966525000000,1743924007234000000,0
FilePageCacheLockFree.totalPagesWritten,1743923966525000000,1743924007234000000,0
FilePageCache.capacityInBytes,1743923966525000000,1743924007234000000,503316478
FilePageCacheLockFree.totalNativeBytesAllocated,1743923966525000000,1743924007234000000,0
FilePageCache.pageFastCacheHits,1743923966525000000,1743924007234000000,5656
FilePageCacheLockFree.heapBytesInUse,1743923966525000000,1743924007234000000,0
cacheStateStorage.set.counter,1743923966525000000,1743924007234000000,3
cacheStateStorage.set.duration,1743923966525000000,1743924007234000000,22
cacheStateStorage.get.counter,1743923966525000000,1743924007234000000,22
cacheStateStorage.get.duration,1743923966525000000,1743924007234000000,394
VFS.invertedFileNameIndex.requests,1743923966525000000,1743924007234000000,0
VFS.fileByIdCache.hits,1743923966525000000,1743924007234000000,0
VFS.fileChildByName,1743923966525000000,1743924007234000000,1920
VFS.fileByIdCache.misses,1743923966525000000,1743924007234000000,28
jps.app.storage.content.reader.load.component.ms,1743923966525000000,1743924007234000000,5
jps.facet.change.listener.init.bridge.ms,1743923966525000000,1743924007234000000,0
jps.storage.jps.conf.reader.load.component.ms,1743923966525000000,1743924007234000000,19
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743923966525000000,1743924007234000000,0
jps.global.initialize.library.bridges.ms,1743923966525000000,1743924007234000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1743923966525000000,1743924007234000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743923966525000000,1743924007234000000,0
jps.global.handle.changed.events.ms,1743923966525000000,1743924007234000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1743923966525000000,1743924007234000000,0
jps.save.global.entities.ms,1743923966525000000,1743924007234000000,72
workspaceModel.global.apply.state.to.project.ms,1743923966525000000,1743924007234000000,47
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743923966525000000,1743924007234000000,13
jps.load.project.to.empty.storage.ms,1743923966525000000,1743924007234000000,170
jps.module.iml.entities.serializer.load.entities.ms,1743923966525000000,1743924007234000000,43
workspaceModel.load.cache.from.file.ms,1743923966525000000,1743924007234000000,230
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743923966525000000,1743924007234000000,0
jps.project.serializers.save.ms,1743923966525000000,1743924007234000000,5
jps.library.entities.serializer.save.entities.ms,1743923966525000000,1743924007234000000,0
jps.artifact.entities.serializer.save.entities.ms,1743923966525000000,1743924007234000000,0
workspaceModel.orphan.listener.update.ms,1743923966525000000,1743924007234000000,2
workspaceModel.mutableEntityStorage.collect.changes.ms,1743923966525000000,1743924007234000000,1
jps.global.handle.before.change.events.ms,1743923966525000000,1743924007234000000,0
jps.save.changed.project.entities.ms,1743923966525000000,1743924007234000000,6
jps.load.initial.state.ms,1743923966525000000,1743924007234000000,18
workspaceModel.moduleManagerBridge.load.module.ms,1743923966525000000,1743924007234000000,0
workspaceModel.do.save.caches.ms,1743923966525000000,1743924007234000000,190
workspaceModel.mutableEntityStorage.instances.count,1743923966525000000,1743924007234000000,27
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743923966525000000,1743924007234000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1743923966525000000,1743924007234000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743923966525000000,1743924007234000000,2
jps.app.storage.content.writer.save.component.ms,1743923966525000000,1743924007234000000,23
jps.global.initialize.library.bridges.after.loading.ms,1743923966525000000,1743924007234000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743923966525000000,1743924007234000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743923966525000000,1743924007234000000,0
jps.global.get.library.by.name.ms,1743923966525000000,1743924007234000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1743923966525000000,1743924007234000000,6
jps.global.get.library.ms,1743923966525000000,1743924007234000000,0
workspaceModel.global.updates.count,1743923966525000000,1743924007234000000,1
jps.project.serializers.load.ms,1743923966525000000,1743924007234000000,72
jps.facet.change.listener.process.change.events.ms,1743923966525000000,1743924007234000000,0
jps.facet.change.listener.before.change.events.ms,1743923966525000000,1743924007234000000,0
workspaceModel.moduleBridge.update.option.ms,1743923966525000000,1743924007234000000,0
jps.apply.loaded.storage.ms,1743923966525000000,1743924007234000000,20
jps.artifact.entities.serializer.load.entities.ms,1743923966525000000,1743924007234000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743923966525000000,1743924007234000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1743923966525000000,1743924007234000000,45
workspaceModel.sync.entities.ms,1743923966525000000,1743924007234000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743923966525000000,1743924007234000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743923966525000000,1743924007234000000,133
workspaceModel.save.cache.to.file.ms,1743923966525000000,1743924007234000000,178
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743923966525000000,1743924007234000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1743923966525000000,1743924007234000000,194
jps.reload.project.entities.ms,1743923966525000000,1743924007234000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743923966525000000,1743924007234000000,0
jps.global.get.libraries.ms,1743923966525000000,1743924007234000000,2
