# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1743924400301000000,1743924460331000000,11659355247
FlushQueue.tasksExecuted,1743924400301000000,1743924460331000000,0
NonBlockingReadAction.failedExecutionTimeUs,1743924400301000000,1743924460331000000,98
FlushQueue.executionTimeMaxNs,1743924400301000000,1743924460331000000,0
NonBlockingReadAction.finalizedExecutionsCount,1743924400301000000,1743924460331000000,41
AWTEventQueue.dispatchTimeMaxNs,1743924400301000000,1743924460331000000,0
FlushQueue.executionTimeAvgNs,1743924400301000000,1743924460331000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1743924400301000000,1743924460331000000,0.0
AWTEventQueue.eventsDispatched,1743924400301000000,1743924460331000000,0
NonBlockingReadAction.failedExecutionsCount,1743924400301000000,1743924460331000000,1
AWTEventQueue.dispatchTime90PNs,1743924400301000000,1743924460331000000,0
WriteAction.executionsCount,1743924400301000000,1743924460331000000,17
FlushQueue.waitingTimeMaxNs,1743924400301000000,1743924460331000000,0
FlushQueue.waitingTime90PNs,1743924400301000000,1743924460331000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1743924400301000000,1743924460331000000,365183
FlushQueue.queueSizeMax,1743924400301000000,1743924460331000000,0
FlushQueue.executionTime90PNs,1743924400301000000,1743924460331000000,0
ReadAction.executionsCount,1743924400301000000,1743924460331000000,99460
FlushQueue.waitingTimeAvgNs,1743924400301000000,1743924460331000000,0.0
FlushQueue.queueSize90P,1743924400301000000,1743924460331000000,0
FlushQueue.queueSizeAvg,1743924400301000000,1743924460331000000,0.0
workspaceModel.cachedValueWithParameters.total.get.ms,1743924400301000000,1743924460331000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1743924400301000000,1743924460331000000,0
workspaceModel.update.unloaded.entities.ms,1743924400301000000,1743924460331000000,0
workspaceModel.updates.ms,1743924400301000000,1743924460331000000,33
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1743924400301000000,1743924460331000000,0
workspaceModel.initializing.ms,1743924400301000000,1743924460331000000,1
workspaceModel.cachedValue.total.get.ms,1743924400301000000,1743924460331000000,10
workspaceModel.workspaceFileIndexData.init.ms,1743924400301000000,1743924460331000000,78
workspaceModel.workspaceFileIndexData.markDirty.ms,1743924400301000000,1743924460331000000,0
workspaceModel.check.recursive.update.ms,1743924400301000000,1743924460331000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1743924400301000000,1743924460331000000,159
workspaceModel.replace.project.model.ms,1743924400301000000,1743924460331000000,0
workspaceModel.loading.total.ms,1743924400301000000,1743924460331000000,202
workspaceModel.workspaceFileIndexData.instances.count,1743924400301000000,1743924460331000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1743924400301000000,1743924460331000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1743924400301000000,1743924460331000000,0
