# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1744046539279000000,1744046550764000000,222
cacheStateStorage.get.counter,1744046539279000000,1744046550764000000,24
cacheStateStorage.set.counter,1744046539279000000,1744046550764000000,12
cacheStateStorage.set.duration,1744046539279000000,1744046550764000000,30
writeAction.median.wait.ms,1744046539279000000,1744046550764000000,0
writeAction.wait.ms,1744046539279000000,1744046550764000000,3
writeAction.count,1744046539279000000,1744046550764000000,17
writeAction.max.wait.ms,1744046539279000000,1744046550764000000,2
compiler.ArtifactManagerBridge.initBridges.ms,1744046539279000000,1744046550764000000,2
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1744046539279000000,1744046550764000000,0
compiler.ArtifactManagerBridge.commit.ms,1744046539279000000,1744046550764000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1744046539279000000,1744046550764000000,5
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1744046539279000000,1744046550764000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1744046539279000000,1744046550764000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1744046539279000000,1744046550764000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1744046539279000000,1744046550764000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1744046539279000000,1744046550764000000,0
VFS.invertedFileNameIndex.requests,1744046539279000000,1744046550764000000,0
VFS.fileChildByName,1744046539279000000,1744046550764000000,1651
VFS.fileByIdCache.misses,1744046539279000000,1744046550764000000,28
VFS.fileByIdCache.hits,1744046539279000000,1744046550764000000,0
NonBlockingReadAction.finalizedExecutionsCount,1744046539279000000,1744046550764000000,28
NonBlockingReadAction.finalizedExecutionTimeUs,1744046539279000000,1744046550764000000,398979
AWTEventQueue.dispatchTimeTotalNS,1744046539279000000,1744046550764000000,5646883672
