# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationAvgMs,1743923330276000000,1743923377472000000,0.0
Indexes.allKeys.lookups,1743923330276000000,1743923377472000000,0.0
Indexes.stubs.lookupDurationMaxMs,1743923330276000000,1743923377472000000,0.0
Indexes.stubs.lookupDurationAvgMs,1743923330276000000,1743923377472000000,0.0
Indexes.stubs.lookups,1743923330276000000,1743923377472000000,0.0
Indexes.entries.lookups,1743923330276000000,1743923377472000000,3.0
Indexes.stubs.lookupDuration90PMs,1743923330276000000,1743923377472000000,0.0
Indexes.allKeys.lookupDuration90PMs,1743923330276000000,1743923377472000000,0.0
Indexes.entries.lookupDuration90PMs,1743923330276000000,1743923377472000000,9.0
Indexes.allKeys.lookupDurationMaxMs,1743923330276000000,1743923377472000000,0.0
Indexes.entries.lookupDurationAvgMs,1743923330276000000,1743923377472000000,5.0
Indexes.entries.lookupDurationMaxMs,1743923330276000000,1743923377472000000,9.0
jps.global.handle.changed.events.ms,1743923330276000000,1743923377472000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1743923330276000000,1743923377472000000,11
workspaceModel.load.cache.metadata.from.file.ms,1743923330276000000,1743923377472000000,23
workspaceModel.save.cache.to.file.ms,1743923330276000000,1743923377472000000,101
workspaceModel.global.apply.state.to.project.ms,1743923330276000000,1743923377472000000,42
jps.global.initialize.library.bridges.ms,1743923330276000000,1743923377472000000,1
workspaceModel.do.save.caches.ms,1743923330276000000,1743923377472000000,96
workspaceModel.moduleManagerBridge.get.modules.ms,1743923330276000000,1743923377472000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743923330276000000,1743923377472000000,0
jps.storage.jps.conf.reader.load.component.ms,1743923330276000000,1743923377472000000,5
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743923330276000000,1743923377472000000,0
jps.global.get.library.by.name.ms,1743923330276000000,1743923377472000000,0
jps.app.storage.content.writer.save.component.ms,1743923330276000000,1743923377472000000,30
jps.load.initial.state.ms,1743923330276000000,1743923377472000000,22
jps.facet.change.listener.init.bridge.ms,1743923330276000000,1743923377472000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743923330276000000,1743923377472000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743923330276000000,1743923377472000000,3
jps.global.handle.before.change.events.ms,1743923330276000000,1743923377472000000,0
