# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.executionTimeAvgNs,1744046404624000000,1744046464683000000,709888.0
AWTEventQueue.eventsDispatched,1744046404624000000,1744046464683000000,3
FlushQueue.tasksExecuted,1744046404624000000,1744046464683000000,4
NonBlockingReadAction.finalizedExecutionsCount,1744046404624000000,1744046464683000000,63
FlushQueue.executionTimeMaxNs,1744046404624000000,1744046464683000000,1843199
ReadAction.executionsCount,1744046404624000000,1744046464683000000,105256
AWTEventQueue.dispatchTimeMaxNs,1744046404624000000,1744046464683000000,37748735
FlushQueue.queueSizeMax,1744046404624000000,1744046464683000000,3
FlushQueue.waitingTime90PNs,1744046404624000000,1744046464683000000,39059455
FlushQueue.waitingTimeMaxNs,1744046404624000000,1744046464683000000,39059455
NonBlockingReadAction.failedExecutionsCount,1744046404624000000,1744046464683000000,1
AWTEventQueue.dispatchTime90PNs,1744046404624000000,1744046464683000000,37748735
AWTEventQueue.dispatchTimeTotalNS,1744046404624000000,1744046464683000000,12865522264
NonBlockingReadAction.finalizedExecutionTimeUs,1744046404624000000,1744046464683000000,376367
FlushQueue.queueSize90P,1744046404624000000,1744046464683000000,3
FlushQueue.executionTime90PNs,1744046404624000000,1744046464683000000,1843199
NonBlockingReadAction.failedExecutionTimeUs,1744046404624000000,1744046464683000000,516
AWTEventQueue.dispatchTimeAvgNs,1744046404624000000,1744046464683000000,1.2704256E7
WriteAction.executionsCount,1744046404624000000,1744046464683000000,27
FlushQueue.queueSizeAvg,1744046404624000000,1744046464683000000,1.5
FlushQueue.waitingTimeAvgNs,1744046404624000000,1744046464683000000,2.4817664E7
Indexes.stubs.lookupDurationMaxMs,1744046404624000000,1744046464683000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1744046404624000000,1744046464683000000,0.0
Indexes.entries.lookupDurationMaxMs,1744046404624000000,1744046464683000000,0.0
Indexes.entries.lookups,1744046404624000000,1744046464683000000,0.0
IndexesFlusher.totalFlushingTimeUs,1744046404624000000,1744046464683000000,462103
Indexes.entries.lookupDurationAvgMs,1744046404624000000,1744046464683000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1744046404624000000,1744046464683000000,57
IndexesFlusher.totalFlushes,1744046404624000000,1744046464683000000,61
Indexes.allKeys.lookups,1744046404624000000,1744046464683000000,0.0
Indexes.allKeys.lookupDuration90PMs,1744046404624000000,1744046464683000000,0.0
Indexes.stubs.lookupDurationAvgMs,1744046404624000000,1744046464683000000,0.0
Indexes.entries.lookupDuration90PMs,1744046404624000000,1744046464683000000,0.0
Indexes.stubs.lookups,1744046404624000000,1744046464683000000,0.0
Indexes.stubs.lookupDuration90PMs,1744046404624000000,1744046464683000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1744046404624000000,1744046464683000000,0.0
IndexesFlusher.totalFlushesRetried,1744046404624000000,1744046464683000000,2
writeAction.wait.ms,1744046404624000000,1744046464683000000,9
writeAction.count,1744046404624000000,1744046464683000000,27
writeAction.median.wait.ms,1744046404624000000,1744046464683000000,0
writeAction.max.wait.ms,1744046404624000000,1744046464683000000,9
VFS.invertedFileNameIndex.requests,1744046404624000000,1744046464683000000,0
FileNameCache.totalMisses,1744046404624000000,1744046464683000000,275136
VFS.fileChildByName,1744046404624000000,1744046464683000000,3973
VFS.fileByIdCache.misses,1744046404624000000,1744046464683000000,27
FileNameCache.queries,1744046404624000000,1744046464683000000,4465408
VFS.fileByIdCache.hits,1744046404624000000,1744046464683000000,1
jps.module.iml.entities.serializer.save.entities.ms,1744046404624000000,1744046464683000000,0
workspaceModel.global.updates.ms,1744046404624000000,1744046464683000000,9
workspaceModel.moduleManagerBridge.get.modules.ms,1744046404624000000,1744046464683000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1744046404624000000,1744046464683000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1744046404624000000,1744046464683000000,0
jps.module.iml.entities.serializer.load.entities.ms,1744046404624000000,1744046464683000000,44
workspaceModel.global.apply.state.to.project.ms,1744046404624000000,1744046464683000000,85
jps.global.get.library.by.name.ms,1744046404624000000,1744046464683000000,0
jps.library.entities.serializer.load.entities.ms,1744046404624000000,1744046464683000000,0
workspaceModel.global.updates.count,1744046404624000000,1744046464683000000,1
jps.global.handle.changed.events.ms,1744046404624000000,1744046464683000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1744046404624000000,1744046464683000000,2
jps.global.initialize.library.bridges.after.loading.ms,1744046404624000000,1744046464683000000,2
jps.artifact.entities.serializer.load.entities.ms,1744046404624000000,1744046464683000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1744046404624000000,1744046464683000000,7
jps.global.handle.before.change.events.ms,1744046404624000000,1744046464683000000,0
jps.artifact.entities.serializer.save.entities.ms,1744046404624000000,1744046464683000000,0
jps.facet.change.listener.process.change.events.ms,1744046404624000000,1744046464683000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1744046404624000000,1744046464683000000,366
workspaceModel.mutableEntityStorage.remove.entity.ms,1744046404624000000,1744046464683000000,0
jps.app.storage.content.writer.save.component.ms,1744046404624000000,1744046464683000000,22
jps.project.serializers.save.ms,1744046404624000000,1744046464683000000,4
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1744046404624000000,1744046464683000000,0
jps.project.serializers.load.ms,1744046404624000000,1744046464683000000,58
jps.global.get.libraries.ms,1744046404624000000,1744046464683000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1744046404624000000,1744046464683000000,0
workspaceModel.load.cache.metadata.from.file.ms,1744046404624000000,1744046464683000000,20
workspaceModel.moduleBridge.before.changed.ms,1744046404624000000,1744046464683000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1744046404624000000,1744046464683000000,0
workspaceModel.do.save.caches.ms,1744046404624000000,1744046464683000000,80
workspaceModel.mutableEntityStorage.to.snapshot.ms,1744046404624000000,1744046464683000000,3
workspaceModel.moduleManagerBridge.load.all.modules.ms,1744046404624000000,1744046464683000000,86
jps.global.get.library.ms,1744046404624000000,1744046464683000000,0
jps.load.initial.state.ms,1744046404624000000,1744046464683000000,17
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1744046404624000000,1744046464683000000,0
workspaceModel.sync.entities.ms,1744046404624000000,1744046464683000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1744046404624000000,1744046464683000000,189
workspaceModel.mutableEntityStorage.put.entity.ms,1744046404624000000,1744046464683000000,4
jps.library.entities.serializer.save.entities.ms,1744046404624000000,1744046464683000000,0
workspaceModel.save.cache.to.file.ms,1744046404624000000,1744046464683000000,74
workspaceModel.mutableEntityStorage.modify.entity.ms,1744046404624000000,1744046464683000000,0
workspaceModel.moduleBridge.update.option.ms,1744046404624000000,1744046464683000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1744046404624000000,1744046464683000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1744046404624000000,1744046464683000000,1
workspaceModel.load.cache.from.file.ms,1744046404624000000,1744046464683000000,235
jps.app.storage.content.reader.load.component.ms,1744046404624000000,1744046464683000000,7
jps.apply.loaded.storage.ms,1744046404624000000,1744046464683000000,29
jps.global.initialize.library.bridges.ms,1744046404624000000,1744046464683000000,0
jps.save.changed.project.entities.ms,1744046404624000000,1744046464683000000,4
jps.facet.change.listener.init.bridge.ms,1744046404624000000,1744046464683000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1744046404624000000,1744046464683000000,0
jps.load.project.to.empty.storage.ms,1744046404624000000,1744046464683000000,157
workspaceModel.mutableEntityStorage.resolve.ms,1744046404624000000,1744046464683000000,0
workspaceModel.mutableEntityStorage.instances.count,1744046404624000000,1744046464683000000,27
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1744046404624000000,1744046464683000000,3
workspaceModel.orphan.listener.update.ms,1744046404624000000,1744046464683000000,3
jps.reload.project.entities.ms,1744046404624000000,1744046464683000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1744046404624000000,1744046464683000000,0
jps.facet.change.listener.before.change.events.ms,1744046404624000000,1744046464683000000,0
jps.save.global.entities.ms,1744046404624000000,1744046464683000000,61
workspaceModel.mutableEntityStorage.replace.by.source.ms,1744046404624000000,1744046464683000000,14
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1744046404624000000,1744046464683000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1744046404624000000,1744046464683000000,26
jps.storage.jps.conf.reader.load.component.ms,1744046404624000000,1744046464683000000,22
workspaceModel.moduleBridge.facet.initialization.ms,1744046404624000000,1744046464683000000,0
workspaceModel.mutableEntityStorage.entities.ms,1744046404624000000,1744046464683000000,0
cacheStateStorage.set.duration,1744046404624000000,1744046464683000000,51
cacheStateStorage.get.counter,1744046404624000000,1744046464683000000,25
cacheStateStorage.get.duration,1744046404624000000,1744046464683000000,338
cacheStateStorage.set.counter,1744046404624000000,1744046464683000000,5
compiler.ArtifactManagerBridge.dropMappings.ms,1744046404624000000,1744046464683000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1744046404624000000,1744046464683000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1744046404624000000,1744046464683000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1744046404624000000,1744046464683000000,1
compiler.ArtifactManagerBridge.commit.ms,1744046404624000000,1744046464683000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1744046404624000000,1744046464683000000,1
compiler.ArtifactManagerBridge.findArtifact.ms,1744046404624000000,1744046464683000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1744046404624000000,1744046464683000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1744046404624000000,1744046464683000000,0
StorageLockContext.competingThreads.avg,1744046404624000000,1744046464683000000,0.0
FilePageCacheLockFree.totalHeapBytesReclaimed,1744046404624000000,1744046464683000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1744046404624000000,1744046464683000000,623551
