# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalTimeSpentOnMappingUs,1744047726837000000,1744047786876000000,8238
FilePageCacheLockFree.totalPageAllocationsWaited,1744047726837000000,1744047786876000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1744047726837000000,1744047786876000000,0
FilePageCache.totalPageDisposalsUs,1744047726837000000,1744047786876000000,2327
FilePageCache.pageHits,1744047726837000000,1744047786876000000,0
DirectByteBufferAllocator.hits,1744047726837000000,1744047786876000000,26
FilePageCache.pageLoads,1744047726837000000,1744047786876000000,284
FileChannelInterruptsRetryer.totalRetriedAttempts,1744047726837000000,1744047786876000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1744047726837000000,1744047786876000000,623552
FilePageCacheLockFree.totalPagesWritten,1744047726837000000,1744047786876000000,0
DirectByteBufferAllocator.misses,1744047726837000000,1744047786876000000,258
StorageLockContext.competingThreads.90P,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1744047726837000000,1744047786876000000,0
MappedFileStorage.totalBytesMapped,1744047726837000000,1744047786876000000,207880192
FilePageCacheLockFree.totalPagesWriteMs,1744047726837000000,1744047786876000000,0
DirectByteBufferAllocator.reclaimed,1744047726837000000,1744047786876000000,26
StreamlinedBlobStorage.recordsRelocated,1744047726837000000,1744047786876000000,0
FilePageCache.maxRegisteredFiles,1744047726837000000,1744047786876000000,586
DirectByteBufferAllocator.disposed,1744047726837000000,1744047786876000000,0
FilePageCache.capacityInBytes,1744047726837000000,1744047786876000000,503316478
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1744047726837000000,1744047786876000000,3037425
FilePageCacheLockFree.totalNativeBytesAllocated,1744047726837000000,1744047786876000000,0
FilePageCache.pageFastCacheHits,1744047726837000000,1744047786876000000,6194
StorageLockContext.competingThreads.avg,1744047726837000000,1744047786876000000,0.0
FilePageCacheLockFree.nativeBytesInUse,1744047726837000000,1744047786876000000,0
StreamlinedBlobStorage.recordsAllocated,1744047726837000000,1744047786876000000,42454
FilePageCache.totalPageLoadsUs,1744047726837000000,1744047786876000000,370921
FilePageCache.uncachedFileAccess,1744047726837000000,1744047786876000000,215
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1744047726837000000,1744047786876000000,268451840
FilePageCacheLockFree.housekeeperTurnsSkipped,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalBytesRequested,1744047726837000000,1744047786876000000,0
StreamlinedBlobStorage.recordsDeleted,1744047726837000000,1744047786876000000,30
FilePageCacheLockFree.totalPagesAllocated,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1744047726837000000,1744047786876000000,0
MappedFileStorage.storages,1744047726837000000,1744047786876000000,17
FilePageCacheLockFree.totalHeapBytesAllocated,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalPagesRequested,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalBytesRead,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalPagesReclaimed,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalPagesReadMs,1744047726837000000,1744047786876000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1744047726837000000,1744047786876000000,0
MappedFileStorage.totalPagesMapped,1744047726837000000,1744047786876000000,17
FilePageCacheLockFree.totalPagesHandedOver,1744047726837000000,1744047786876000000,0
FilePageCache.maxCacheSizeInBytes,1744047726837000000,1744047786876000000,268451840
StorageLockContext.competingThreads.max,1744047726837000000,1744047786876000000,0
FilePageCacheLockFree.totalBytesWritten,1744047726837000000,1744047786876000000,0
FilePageCache.disposedBuffers,1744047726837000000,1744047786876000000,26
FilePageCacheLockFree.heapBytesInUse,1744047726837000000,1744047786876000000,0
cacheStateStorage.set.counter,1744047726837000000,1744047786876000000,3
cacheStateStorage.get.counter,1744047726837000000,1744047786876000000,28
cacheStateStorage.get.duration,1744047726837000000,1744047786876000000,211
cacheStateStorage.set.duration,1744047726837000000,1744047786876000000,27
writeAction.median.wait.ms,1744047726837000000,1744047786876000000,0
writeAction.wait.ms,1744047726837000000,1744047786876000000,2
writeAction.count,1744047726837000000,1744047786876000000,27
writeAction.max.wait.ms,1744047726837000000,1744047786876000000,2
Indexes.entries.lookupDurationMaxMs,1744047726837000000,1744047786876000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1744047726837000000,1744047786876000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1744047726837000000,1744047786876000000,2
Indexes.stubs.lookups,1744047726837000000,1744047786876000000,0.0
Indexes.entries.lookupDuration90PMs,1744047726837000000,1744047786876000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1744047726837000000,1744047786876000000,0.0
IndexesFlusher.totalFlushes,1744047726837000000,1744047786876000000,59
Indexes.stubs.lookupDurationMaxMs,1744047726837000000,1744047786876000000,0.0
IndexesFlusher.totalFlushingTimeUs,1744047726837000000,1744047786876000000,420439
Indexes.allKeys.lookups,1744047726837000000,1744047786876000000,0.0
IndexesFlusher.totalFlushesRetried,1744047726837000000,1744047786876000000,0
Indexes.stubs.lookupDurationAvgMs,1744047726837000000,1744047786876000000,0.0
Indexes.allKeys.lookupDuration90PMs,1744047726837000000,1744047786876000000,0.0
Indexes.entries.lookupDurationAvgMs,1744047726837000000,1744047786876000000,0.0
Indexes.entries.lookups,1744047726837000000,1744047786876000000,0.0
Indexes.stubs.lookupDuration90PMs,1744047726837000000,1744047786876000000,0.0
VFS.fileByIdCache.hits,1744047726837000000,1744047786876000000,0
VFS.invertedFileNameIndex.requests,1744047726837000000,1744047786876000000,0
FileNameCache.totalMisses,1744047726837000000,1744047786876000000,0
VFS.fileChildByName,1744047726837000000,1744047786876000000,3466
VFS.fileByIdCache.misses,1744047726837000000,1744047786876000000,28
FileNameCache.queries,1744047726837000000,1744047786876000000,0
NonBlockingReadAction.failedExecutionsCount,1744047726837000000,1744047786876000000,0
FlushQueue.queueSizeMax,1744047726837000000,1744047786876000000,0
AWTEventQueue.dispatchTimeMaxNs,1744047726837000000,1744047786876000000,0
FlushQueue.queueSize90P,1744047726837000000,1744047786876000000,0
WriteAction.executionsCount,1744047726837000000,1744047786876000000,27
FlushQueue.executionTimeAvgNs,1744047726837000000,1744047786876000000,0.0
FlushQueue.tasksExecuted,1744047726837000000,1744047786876000000,0
FlushQueue.executionTimeMaxNs,1744047726837000000,1744047786876000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1744047726837000000,1744047786876000000,372842
FlushQueue.queueSizeAvg,1744047726837000000,1744047786876000000,0.0
FlushQueue.waitingTime90PNs,1744047726837000000,1744047786876000000,0
AWTEventQueue.dispatchTimeTotalNS,1744047726837000000,1744047786876000000,12161751756
ReadAction.executionsCount,1744047726837000000,1744047786876000000,113649
AWTEventQueue.eventsDispatched,1744047726837000000,1744047786876000000,0
FlushQueue.waitingTimeMaxNs,1744047726837000000,1744047786876000000,0
AWTEventQueue.dispatchTime90PNs,1744047726837000000,1744047786876000000,0
AWTEventQueue.dispatchTimeAvgNs,1744047726837000000,1744047786876000000,0.0
FlushQueue.waitingTimeAvgNs,1744047726837000000,1744047786876000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1744047726837000000,1744047786876000000,79
FlushQueue.executionTime90PNs,1744047726837000000,1744047786876000000,0
NonBlockingReadAction.failedExecutionTimeUs,1744047726837000000,1744047786876000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1744047726837000000,1744047786876000000,0
workspaceModel.workspaceFileIndexData.instances.count,1744047726837000000,1744047786876000000,1
