# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1743923380168000000,1743923440178000000,21
cacheStateStorage.set.counter,1743923380168000000,1743923440178000000,3
cacheStateStorage.get.duration,1743923380168000000,1743923440178000000,209
cacheStateStorage.set.duration,1743923380168000000,1743923440178000000,13
workspaceModel.cachedValueWithParameters.calculated.ms,1743923380168000000,1743923440178000000,0
workspaceModel.pre.handlers.ms,1743923380168000000,1743923440178000000,0
workspaceModel.cachedValue.clear.ms,1743923380168000000,1743923440178000000,0
workspaceModel.updates.precise.ms,1743923380168000000,1743923440178000000,10
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1743923380168000000,1743923440178000000,0
workspaceModel.check.recursive.update.ms,1743923380168000000,1743923440178000000,1
workspaceModel.to.snapshot.ms,1743923380168000000,1743923440178000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1743923380168000000,1743923440178000000,0
workspaceModel.cachedValue.calculated.ms,1743923380168000000,1743923440178000000,12
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1743923380168000000,1743923440178000000,0
workspaceModel.updates.count,1743923380168000000,1743923440178000000,3
workspaceModel.cachedValueWithParameters.total.get.ms,1743923380168000000,1743923440178000000,0
workspaceModel.update.unloaded.entities.ms,1743923380168000000,1743923440178000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1743923380168000000,1743923440178000000,205
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1743923380168000000,1743923440178000000,0
workspaceModel.workspaceFileIndexData.instances.count,1743923380168000000,1743923440178000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1743923380168000000,1743923440178000000,0
workspaceModel.initializing.ms,1743923380168000000,1743923440178000000,1
workspaceModel.cachedValue.total.get.ms,1743923380168000000,1743923440178000000,12
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1743923380168000000,1743923440178000000,0
workspaceModel.init.bridges.ms,1743923380168000000,1743923440178000000,1
workspaceModel.replace.project.model.ms,1743923380168000000,1743923440178000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1743923380168000000,1743923440178000000,0
workspaceModel.collect.changes.ms,1743923380168000000,1743923440178000000,0
workspaceModel.loading.from.cache.ms,1743923380168000000,1743923440178000000,210
workspaceModel.loading.total.ms,1743923380168000000,1743923440178000000,220
workspaceModel.workspaceFileIndexData.getPackageName.ms,1743923380168000000,1743923440178000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1743923380168000000,1743923440178000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1743923380168000000,1743923440178000000,24
workspaceModel.updates.ms,1743923380168000000,1743923440178000000,40
workspaceModel.cachedValue.from.cache.ms,1743923380168000000,1743923440178000000,0
workspaceModel.full.replace.project.model.ms,1743923380168000000,1743923440178000000,4
workspaceModel.workspaceFileIndexData.init.ms,1743923380168000000,1743923440178000000,23
workspaceModel.entityStorageSnapshotImpl.instances.count,1743923380168000000,1743923440178000000,19
JVM.usedNativeBytes,1743923380168000000,1743923440178000000,282291144
JVM.GC.collectionTimesMs,1743923380168000000,1743923440178000000,150
JVM.GC.collections,1743923380168000000,1743923440178000000,20
JVM.newThreadsCount,1743923380168000000,1743923440178000000,179
JVM.threadCount,1743923380168000000,1743923440178000000,175
JVM.maxHeapBytes,1743923380168000000,1743923440178000000,2147483648
JVM.totalDirectByteBuffersBytes,1743923380168000000,1743923440178000000,263193779
JVM.usedHeapBytes,1743923380168000000,1743923440178000000,398266320
JVM.totalBytesAllocated,1743923380168000000,1743923440178000000,1505418992
JVM.totalCpuTimeMs,1743923380168000000,1743923440178000000,48710
JVM.maxThreadCount,1743923380168000000,1743923440178000000,177
OS.loadAverage,1743923380168000000,1743923440178000000,3.0576171875
writeAction.wait.ms,1743923380168000000,1743923440178000000,92
writeAction.count,1743923380168000000,1743923440178000000,11
writeAction.max.wait.ms,1743923380168000000,1743923440178000000,40
