# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalBytesAllocated,1744049356445000000,1744049375139000000,1219294160
JVM.totalDirectByteBuffersBytes,1744049356445000000,1744049375139000000,43891104
JVM.GC.collections,1744049356445000000,1744049375139000000,24
JVM.usedNativeBytes,1744049356445000000,1744049375139000000,323257976
JVM.totalCpuTimeMs,1744049356445000000,1744049375139000000,60110
OS.loadAverage,1744049356445000000,1744049375139000000,2.96630859375
JVM.newThreadsCount,1744049356445000000,1744049375139000000,147
JVM.threadCount,1744049356445000000,1744049375139000000,115
JVM.maxThreadCount,1744049356445000000,1744049375139000000,131
JVM.usedHeapBytes,1744049356445000000,1744049375139000000,290488320
JVM.GC.collectionTimesMs,1744049356445000000,1744049375139000000,163
JVM.maxHeapBytes,1744049356445000000,1744049375139000000,2147483648
FileChannelInterruptsRetryer.totalRetriedAttempts,1744049356445000000,1744049375139000000,0
DirectByteBufferAllocator.reclaimed,1744049356445000000,1744049375139000000,69
FilePageCacheLockFree.totalPagesAllocated,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalPagesReclaimed,1744049356445000000,1744049375139000000,0
StorageLockContext.competingThreads.avg,1744049356445000000,1744049375139000000,0.05405405405405406
DirectByteBufferAllocator.disposed,1744049356445000000,1744049375139000000,204
FilePageCache.capacityInBytes,1744049356445000000,1744049375139000000,503316478
FilePageCache.pageHits,1744049356445000000,1744049375139000000,0
FilePageCache.pageFastCacheHits,1744049356445000000,1744049375139000000,6039
FilePageCache.totalPageDisposalsUs,1744049356445000000,1744049375139000000,2258
FilePageCacheLockFree.totalBytesRead,1744049356445000000,1744049375139000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1744049356445000000,1744049375139000000,41967616
FilePageCache.totalPageLoadsUs,1744049356445000000,1744049375139000000,372665
FilePageCacheLockFree.heapBytesInUse,1744049356445000000,1744049375139000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalPagesWritten,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalBytesRequested,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalBytesWritten,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1744049356445000000,1744049375139000000,0
StorageLockContext.competingThreads.max,1744049356445000000,1744049375139000000,2
FilePageCacheLockFree.totalPagesRequestsMs,1744049356445000000,1744049375139000000,0
StorageLockContext.competingThreads.90P,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.nativeBytesInUse,1744049356445000000,1744049375139000000,0
FilePageCache.uncachedFileAccess,1744049356445000000,1744049375139000000,210
FilePageCacheLockFree.totalNativeBytesReclaimed,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1744049356445000000,1744049375139000000,0
DirectByteBufferAllocator.misses,1744049356445000000,1744049375139000000,247
FilePageCacheLockFree.totalPagesWriteMs,1744049356445000000,1744049375139000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1744049356445000000,1744049375139000000,41967616
FilePageCache.pageLoads,1744049356445000000,1744049375139000000,273
FilePageCacheLockFree.totalPagesReadMs,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.totalPagesRequested,1744049356445000000,1744049375139000000,0
DirectByteBufferAllocator.hits,1744049356445000000,1744049375139000000,26
FilePageCache.disposedBuffers,1744049356445000000,1744049375139000000,273
FilePageCache.maxCacheSizeInBytes,1744049356445000000,1744049375139000000,255877120
FilePageCacheLockFree.totalHeapBytesReclaimed,1744049356445000000,1744049375139000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1744049356445000000,1744049375139000000,0
FilePageCache.maxRegisteredFiles,1744049356445000000,1744049375139000000,586
FilePageCacheLockFree.totalPagesHandedOver,1744049356445000000,1744049375139000000,0
cacheStateStorage.set.counter,1744049356445000000,1744049375139000000,12
